county,value
"Adams County, Colorado!!Estimate",494500
"Arapahoe County, Colorado!!Estimate",567300
"Boulder County, Colorado!!Estimate",763600
"Broomfield County, Colorado!!Estimate",660800
"Chaffee County, Colorado!!Estimate",638200
"Delta County, Colorado!!Estimate",352200
"Denver County, Colorado!!Estimate",626500
"Douglas County, Colorado!!Estimate",725500
"Eagle County, Colorado!!Estimate",1049100
"Elbert County, Colorado!!Estimate",733200
"El Paso County, Colorado!!Estimate",470900
"Fremont County, Colorado!!Estimate",289000
"Garfield County, Colorado!!Estimate",616800
"Jefferson County, Colorado!!Estimate",645900
"La Plata County, Colorado!!Estimate",634300
"Larimer County, Colorado!!Estimate",574900
"Logan County, Colorado!!Estimate",249900
"Mesa County, Colorado!!Estimate",373200
"Montezuma County, Colorado!!Estimate",347500
"Montrose County, Colorado!!Estimate",428100
"Morgan County, Colorado!!Estimate",322400
"Pueblo County, Colorado!!Estimate",313700
"Routt County, Colorado!!Estimate",962200
"Summit County, Colorado!!Estimate",918600
"Teller County, Colorado!!Estimate",502500
"Weld County, Colorado!!Estimate",475400
